ORDERDATE,SHIPADDRESS,REQUIREDDATE,SHIPNAME,SHIPCOUNTRY,SHIPPEDDATE,EMPLOYEEID,SHIPREGION,FREIGHT,ORDERID,SHIPVIA,SHIPPOSTALCODE,CUSTOMERID,SHIPCITY,SITEID
08/04/1994 12:00:00 AM,"59 rue de l""""Abbaye",09/01/1994 12:00:00 AM,Vins et alcools Chevalier,France,08/16/1994 12:00:00 AM,5,,32.38,10248,3,51100,FRANC,Reims,11
08/05/1994 12:00:00 AM,Luisenstr. 48,09/16/1994 12:00:00 AM,Toms Spezialitäten,Germany,08/10/1994 12:00:00 AM,6,,11.61,10249,1,44087,GERMN,Münster,11
08/08/1994 12:00:00 AM,"2, rue du Commerce",09/05/1994 12:00:00 AM,Victuailles en stock,France,08/15/1994 12:00:00 AM,3,,41.34,10251,1,69004,FRANC,Lyon,10
08/08/1994 12:00:00 AM,"Rua do Paço, 67",09/05/1994 12:00:00 AM,Hanari Carnes,Brazil,08/12/1994 12:00:00 AM,4,RJ,65.83,10250,2,05454-876,BRAZL,Rio de Janeiro,4
08/09/1994 12:00:00 AM,"Boulevard Tirou, 255",09/06/1994 12:00:00 AM,Suprêmes délices,Belgium,08/11/1994 12:00:00 AM,4,,51.3,10252,2,B-6000,BELGM,Charleroi,2
08/10/1994 12:00:00 AM,"Rua do Paço, 67",08/24/1994 12:00:00 AM,Hanari Carnes,Brazil,08/16/1994 12:00:00 AM,3,RJ,58.17,10253,2,05454-876,BRAZL,Rio de Janeiro,4
08/11/1994 12:00:00 AM,Hauptstr. 31,09/08/1994 12:00:00 AM,Chop-suey Chinese,Switzerland,08/23/1994 12:00:00 AM,5,,22.98,10254,2,3012,SWISS,Bern,1
08/12/1994 12:00:00 AM,Starenweg 5,09/09/1994 12:00:00 AM,Richter Supermarkt,Switzerland,08/15/1994 12:00:00 AM,9,,148.33,10255,3,1204,SWISS,Genève,2
08/15/1994 12:00:00 AM,"Rua do Mercado, 12",09/12/1994 12:00:00 AM,Wellington Importadora,Brazil,08/17/1994 12:00:00 AM,3,SP,13.97,10256,2,08737-363,BRAZL,Resende,9
08/16/1994 12:00:00 AM,Carrera 22 con Ave. Carlos Soublette #8-35,09/13/1994 12:00:00 AM,HILARIÓN-Abastos,Venezuela,08/22/1994 12:00:00 AM,4,Táchira,81.91,10257,3,5022,VENEZ,San Cristóbal,2
08/17/1994 12:00:00 AM,Kirchgasse 6,09/14/1994 12:00:00 AM,Ernst Handel,Austria,08/23/1994 12:00:00 AM,1,,140.51,10258,1,8010,AUSTR,Graz,1
08/18/1994 12:00:00 AM,Sierras de Granada 9993,09/15/1994 12:00:00 AM,Centro comercial Moctezuma,Mexico,08/25/1994 12:00:00 AM,4,,3.25,10259,3,05022,MEXIC,México D.F.,3
08/19/1994 12:00:00 AM,Mehrheimerstr. 369,09/16/1994 12:00:00 AM,Ottilies Käseladen,Germany,08/29/1994 12:00:00 AM,4,,55.09,10260,1,50739,GERMN,Köln,9
08/19/1994 12:00:00 AM,"Rua da Panificadora, 12",09/16/1994 12:00:00 AM,Que Delícia,Brazil,08/30/1994 12:00:00 AM,4,RJ,3.05,10261,2,02389-673,BRAZL,Rio de Janeiro,5
08/22/1994 12:00:00 AM,2817 Milton Dr.,09/19/1994 12:00:00 AM,Rattlesnake Canyon Grocery,USA,08/25/1994 12:00:00 AM,8,NM,48.29,10262,3,87110,USADI,Albuquerque,7
08/23/1994 12:00:00 AM,Kirchgasse 6,09/20/1994 12:00:00 AM,Ernst Handel,Austria,08/31/1994 12:00:00 AM,9,,146.06,10263,3,8010,AUSTR,Graz,1
08/24/1994 12:00:00 AM,Åkergatan 24,09/21/1994 12:00:00 AM,Folk och fä HB,Sweden,09/23/1994 12:00:00 AM,6,,3.67,10264,3,S-844 67,SWEDN,Bräcke,2
08/25/1994 12:00:00 AM,"24, place Kléber",09/22/1994 12:00:00 AM,Blondel père et fils,France,09/12/1994 12:00:00 AM,2,,55.28,10265,1,67000,FRANC,Strasbourg,1
08/26/1994 12:00:00 AM,Torikatu 38,10/07/1994 12:00:00 AM,Wartian Herkku,Finland,08/31/1994 12:00:00 AM,3,,25.73,10266,3,90110,FNLND,Oulu,1
08/29/1994 12:00:00 AM,Berliner Platz 43,09/26/1994 12:00:00 AM,Frankenversand,Germany,09/06/1994 12:00:00 AM,4,,208.58,10267,1,80805,GERMN,München,5
08/30/1994 12:00:00 AM,5ª Ave. Los Palos Grandes,09/27/1994 12:00:00 AM,GROSELLA-Restaurante,Venezuela,09/02/1994 12:00:00 AM,8,DF,66.29,10268,3,1081,VENEZ,Caracas,1
08/31/1994 12:00:00 AM,1029 - 12th Ave. S.,09/14/1994 12:00:00 AM,White Clover Markets,USA,09/09/1994 12:00:00 AM,5,WA,4.56,10269,1,98124,USADI,Seattle,13
09/01/1994 12:00:00 AM,P.O. Box 555,09/29/1994 12:00:00 AM,Split Rail Beer & Ale,USA,09/30/1994 12:00:00 AM,6,WY,4.54,10271,2,82520,USADI,Lander,9
09/01/1994 12:00:00 AM,Torikatu 38,09/29/1994 12:00:00 AM,Wartian Herkku,Finland,09/02/1994 12:00:00 AM,1,,136.54,10270,1,90110,FNLND,Oulu,1
09/02/1994 12:00:00 AM,2817 Milton Dr.,09/30/1994 12:00:00 AM,Rattlesnake Canyon Grocery,USA,09/06/1994 12:00:00 AM,6,NM,98.03,10272,2,87110,USADI,Albuquerque,7
09/05/1994 12:00:00 AM,Taucherstraße 10,10/03/1994 12:00:00 AM,QUICK-Stop,Germany,09/12/1994 12:00:00 AM,3,,76.07,10273,3,01307,GERMN,Cunewalde,10
09/06/1994 12:00:00 AM,"59 rue de l""""Abbaye",10/04/1994 12:00:00 AM,Vins et alcools Chevalier,France,09/16/1994 12:00:00 AM,6,,6.01,10274,1,51100,FRANC,Reims,11
09/07/1994 12:00:00 AM,Via Ludovico il Moro 22,10/05/1994 12:00:00 AM,Magazzini Alimentari Riuniti,Italy,09/09/1994 12:00:00 AM,1,,26.93,10275,1,24100,ITALY,Bergamo,2
09/08/1994 12:00:00 AM,Avda. Azteca 123,09/22/1994 12:00:00 AM,Tortuga Restaurante,Mexico,09/14/1994 12:00:00 AM,8,,13.84,10276,3,05033,MEXIC,México D.F.,5
09/09/1994 12:00:00 AM,Heerstr. 22,10/07/1994 12:00:00 AM,Morgenstern Gesundkost,Germany,09/13/1994 12:00:00 AM,2,,125.77,10277,3,04179,GERMN,Leipzig,8
09/12/1994 12:00:00 AM,Berguvsvägen  8,10/10/1994 12:00:00 AM,Berglunds snabbköp,Sweden,09/16/1994 12:00:00 AM,8,,92.69,10278,2,S-958 22,SWEDN,Luleå,1
09/13/1994 12:00:00 AM,Magazinweg 7,10/11/1994 12:00:00 AM,Lehmanns Marktstand,Germany,09/16/1994 12:00:00 AM,8,,25.83,10279,2,60528,GERMN,Frankfurt a.M.,7
09/14/1994 12:00:00 AM,Berguvsvägen  8,10/12/1994 12:00:00 AM,Berglunds snabbköp,Sweden,10/13/1994 12:00:00 AM,2,,8.98,10280,1,S-958 22,SWEDN,Luleå,1
09/14/1994 12:00:00 AM,"Gran Vía, 1",09/28/1994 12:00:00 AM,Romero y tomillo,Spain,09/21/1994 12:00:00 AM,4,,2.94,10281,1,28001,SPAIN,Madrid,5
09/15/1994 12:00:00 AM,"Gran Vía, 1",10/13/1994 12:00:00 AM,Romero y tomillo,Spain,09/21/1994 12:00:00 AM,4,,12.69,10282,1,28001,SPAIN,Madrid,5
09/16/1994 12:00:00 AM,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,10/14/1994 12:00:00 AM,LILA-Supermercado,Venezuela,09/23/1994 12:00:00 AM,3,Lara,84.81,10283,3,3508,VENEZ,Barquisimeto,3
09/19/1994 12:00:00 AM,Magazinweg 7,10/17/1994 12:00:00 AM,Lehmanns Marktstand,Germany,09/27/1994 12:00:00 AM,4,,76.56,10284,1,60528,GERMN,Frankfurt a.M.,7
09/20/1994 12:00:00 AM,Taucherstraße 10,10/18/1994 12:00:00 AM,QUICK-Stop,Germany,09/26/1994 12:00:00 AM,1,,76.83,10285,2,01307,GERMN,Cunewalde,10
09/21/1994 12:00:00 AM,Taucherstraße 10,10/19/1994 12:00:00 AM,QUICK-Stop,Germany,09/30/1994 12:00:00 AM,8,,229.24,10286,3,01307,GERMN,Cunewalde,10
09/22/1994 12:00:00 AM,"Av. Copacabana, 267",10/20/1994 12:00:00 AM,Ricardo Adocicados,Brazil,09/28/1994 12:00:00 AM,8,RJ,12.76,10287,3,02389-890,BRAZL,Rio de Janeiro,7
09/23/1994 12:00:00 AM,Strada Provinciale 124,10/21/1994 12:00:00 AM,Reggiani Caseifici,Italy,10/04/1994 12:00:00 AM,4,,7.45,10288,1,42100,ITALY,Reggio Emilia,3
09/26/1994 12:00:00 AM,Fauntleroy Circus,10/24/1994 12:00:00 AM,B's Beverages,UK,09/28/1994 12:00:00 AM,7,,22.77,10289,3,EC2 5NT,UKDST,London,2
09/27/1994 12:00:00 AM,"Av. dos Lusíadas, 23",10/25/1994 12:00:00 AM,Comércio Mineiro,Brazil,10/04/1994 12:00:00 AM,8,SP,79.7,10290,1,05432-043,BRAZL,São Paulo,1
09/27/1994 12:00:00 AM,"Rua da Panificadora, 12",10/25/1994 12:00:00 AM,Que Delícia,Brazil,10/05/1994 12:00:00 AM,6,RJ,6.4,10291,2,02389-673,BRAZL,Rio de Janeiro,5
09/28/1994 12:00:00 AM,"Av. Inês de Castro, 414",10/26/1994 12:00:00 AM,Tradição Hipermercados,Brazil,10/03/1994 12:00:00 AM,1,SP,1.35,10292,2,05634-030,BRAZL,São Paulo,8
09/29/1994 12:00:00 AM,Avda. Azteca 123,10/27/1994 12:00:00 AM,Tortuga Restaurante,Mexico,10/12/1994 12:00:00 AM,1,,21.18,10293,3,05033,MEXIC,México D.F.,5
09/30/1994 12:00:00 AM,2817 Milton Dr.,10/28/1994 12:00:00 AM,Rattlesnake Canyon Grocery,USA,10/06/1994 12:00:00 AM,4,NM,147.26,10294,2,87110,USADI,Albuquerque,7
10/03/1994 12:00:00 AM,"59 rue de l""""Abbaye",10/31/1994 12:00:00 AM,Vins et alcools Chevalier,France,10/11/1994 12:00:00 AM,2,,1.15,10295,2,51100,FRANC,Reims,11
10/04/1994 12:00:00 AM,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,11/01/1994 12:00:00 AM,LILA-Supermercado,Venezuela,10/12/1994 12:00:00 AM,6,Lara,0.12,10296,1,3508,VENEZ,Barquisimeto,3
10/05/1994 12:00:00 AM,"24, place Kléber",11/16/1994 12:00:00 AM,Blondel père et fils,France,10/11/1994 12:00:00 AM,5,,5.74,10297,2,67000,FRANC,Strasbourg,1
